pool_a,pool_b,offset_a_vs_b
5,24,-7.981957553019939
5,25,1.6354365123474126
5,26,-1.84210315989654
5,27,-23.434628011403476
5,28,3.712293606741453
5,29,4.4662371063523265
5,30,-2.8178792985294163
5,31,-2.649370176486357
5,32,-4.988813650774951
5,33,-8.799880271323746
5,34,1.6362445287966634
5,35,3.262817450688517
5,36,-2.0766582113347574
5,37,0.20726379755253538
5,38,-10.170904575260606
5,39,-1.1105770913674549
5,40,-9.593021752199734
5,41,-0.3956714052022002
5,42,1.9823333648961503
5,43,-6.322983662727001
5,44,-0.13582378372195608
5,45,-9.918300131237329
5,46,-3.692996958015918
5,47,3.4932055789644614
5,48,0.16449719133960478
5,49,-2.3114147831190763
5,50,-1.1262593410298198
5,51,-3.213593285000241
5,52,-0.7014694020928919
5,53,0.0
5,54,0.0
5,55,0.021814496694225756
5,56,0.0
6,7,-3.6649259314375278
6,8,5.810027842415943
6,9,-6.994720868656715
6,10,11.622723910345881
6,11,-24.061801713596882
6,12,-3.4122516915149097
6,13,1.704267535015855
6,14,2.943648132433145
6,15,-45.56574280189098
6,16,0.8355852334555273
6,17,-0.8824321339369279
6,18,3.535242540477008
6,19,15.68237695028558
6,20,-0.28335335999104994
6,21,0.9838153310109389
6,22,1.5201441985177835
6,23,-2.0906421969994877
6,24,6.6212980737820235
6,25,-15.742225465721667
6,26,2.7276340730221174
6,27,-11.68179668837713
6,28,0.13573727693632182
6,29,-2.052108680438158
6,30,9.365150137027616
6,31,-1.5418651800868277
6,32,-0.24916906842291284
6,33,-2.204356418794155
6,34,0.08845425995541165
6,35,2.6999374485313536
6,36,-9.23752285220779
6,37,-3.511870515741345
6,38,0.15738041304160555
6,39,2.3366178192205855
6,40,2.4578647400984046
6,41,-2.8324700883978724
6,42,1.3053288224574324
6,43,4.500831334041399
6,44,6.5897241232951345
6,45,-4.8204588081068565
6,46,-0.9891909784233184
6,47,-4.441597301154918
6,48,0.49693774163211124
6,49,0.30037110193091887
6,50,0.0
6,51,-1.872918711321964
6,52,0.6942143339305799
6,53,0.536558204000037
6,54,0.0
6,55,0.0
6,56,0.10366161074153665
7,8,10.107537613837177
7,9,9.171649585946898
7,10,13.88552907175714
7,11,-12.892336180964863
7,12,5.548228722597268
7,13,11.998593337207268
7,14,2.7806071321074946
7,15,-27.883300706928495
7,16,0.8786194720615459
